regression_bug_id,regression_perf_tests
1943811,"['console.log-in-loop-content-process-number', 'console.log-in-loop-content-process-document', 'console.log-in-loop-content-process-window']"
1952873,['']
1953355,"['custom.netmonitor.manyrequests.togglepanel', 'custom.netmonitor.manyrequests.requestsFinished.DAMP', 'source-map.SourceMapGenerator-toString.DAMP', 'custom.jsdebugger.pretty-print.reload-and-pause.DAMP', 'custom.jsdebugger.stepInNewSource.DAMP', 'custom.netmonitor.exportHar', 'custom.netmonitor.manyrequests.requestsFinished.DAMP']"
1953828,"['SpeedIndex', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'largestContentfulPaint', 'largestContentfulPaint', 'PerceptualSpeedIndex', 'FirstVisualChange', 'loadtime']"
1953453,"['SMART-TAB-TOPIC-cold-start-e2e-init-latency', 'SMART-TAB-TOPIC-cold-start-initialization-latency', 'SMART-TAB-TOPIC-cold-start-pipeline-ready-latency']"
1950127,['']
1949722,"['console.typing', 'console.autocomplete']"
1948956,['SpeedIndex']
1949177,"['startup_about_home_paint_cached', 'ts_paint', 'startup_about_home_paint_cached', 'sessionrestore_no_auto_restore', 'startup_about_home_paint']"
1948688,['custom.jsdebugger.open-large-minified-file.DAMP']
1948687,[]
1946445,"['panelsInBackground.reload.DAMP', 'simple.netmonitor.requestsFinished.DAMP', 'source-map-loader.init.DAMP', 'panelsInBackground.reload.DAMP', 'simple.netmonitor.reload.DAMP', 'panelsInBackground.reload.DAMP', 'custom.jsdebugger.project-search.DAMP', 'custom.jsdebugger.stepIn.DAMP', 'simple.netmonitor.reload.DAMP']"
1949188,"['SpeedIndex', 'LastVisualChange']"
1948684,['custom.inspector.manyrules.deselectnode']
1948013,['XRes']
1948014,['parent-basic-singleton.html']
1948025,"['objects-with-stacks', 'objects-with-stacks']"
1948024,"['memory', 'memory']"
1948021,"['custom.netmonitor.close.DAMP', '']"
1947726,[]
1947725,['']
1947124,"['ContentfulSpeedIndex', 'PerceptualSpeedIndex', 'SpeedIndex', 'LastVisualChange']"
1945683,"['Vanilla-ES2015-TodoMVC/DeletingItems/Sync', 'Nth pseudo classes/Adding classes - 2/Async', 'Vanilla-ES2015-TodoMVC/DeletingItems/Async']"
1947292,"['Nth pseudo classes/Adding classes - 1', 'Sibling combinators/Adding leaf elements - 2', 'Sibling combinators/Adding leaf elements - 2/Async', 'Descendant and child combinators/Removing classes - 2']"
1947708,"['Nth pseudo classes/Adding classes - 2/Sync', 'FirstVisualChange']"
1946766,['']
1947123,['largestContentfulPaint']
1947508,"['TodoMVC-Preact-Complex-DOM/Adding100Items/Sync', 'TodoMVC-Preact-Complex-DOM/Adding100Items/Sync']"
1946365,"['console.autocomplete.longInput', 'simple.webconsole.reload.DAMP', 'console.autocomplete', 'console.typing']"
1945741,"['Tabs closed [+30s, forced GC]']"
1946058,"['', '', '']"
1946363,"['console.openwithcache.open.DAMP', 'simple.webconsole.open.DAMP', 'console.log-in-loop-content-process-nan']"
1946359,"['simple.webconsole.open.DAMP', 'console.openwithcache.open.DAMP', 'simple.accessibility.open.DAMP', 'custom.styleeditor.open.DAMP', 'simple.inspector.open.DAMP', 'simple.netmonitor.open.DAMP']"
1946060,['fcp']
1946760,"['React-Stockcharts-SVG/PanTheChart/total', 'React-Stockcharts-SVG/PanTheChart/Sync']"
1945888,['custom.netmonitor.manyrequests.togglepanel']
1945887,['custom.netmonitor.requestsFinished.DAMP']
1945475,['issue11518.pdf']
1944853,['lastFrame']
1944854,['num_static_constructors']
